Boss,Termination,0,"I'm done dealing with your incompetence.\nYour final paycheck has been revoked due to theft from the register.\nDon't bother using me as a reference.\nGood luck affording rent and all those subscriptions now."
MetaGamble,Make Money Fast!,1, "What's up brother!\nTry our exclusive game and make MEGA MONEY!\nRules: Since our game offers a great opportunity, we only allow players to have 3 turns per week to win BIG!\nDon't miss it!"
Streamflix,Subscription Renewal,2, "Your Streamflix subscription is auto-renewing!\nWe raised prices again because inflation is everyone's problem.\nBinge-watch shows we'll cancel after one season."
Pixney Plus,Subscription Renewal,2, "Your Pixney Plus subscription is renewing.\nThe mouse demands his tribute.\nChildhood memories hit different when money's tight."
Soundify,Subscription Renewal,2, "Your Soundify Premium is renewing.\nJust the cost of 10 coffees! Or actual groceries.\nMusic is food for the soul, your wallet disagrees."
Amazin Prime,Subscription Renewal,2, "Your Amazin Prime membership is renewing!\nRemember when this was affordable? Yeah, neither do we lol.\nTwo-day shipping on regret and buyer's remorse."
Hoolu,Subscription Renewal,2, "Your Hoolu subscription renews today.\nEntertainment or savings? Your choice!\n(Spoiler: We know which one you'll pick)"
HBOx,Subscription Renewal,2, "Your HBOx subscription is renewing.\nPremium content deserves premium prices!\nWatch rich people solve problems with money you don't have."
Pineapple Music,Subscription Renewal,2, "Your Pineapple Music subscription renews today.\nInvesting in vibes! Your bank account disagrees.\nYour curated playlists cost more than therapy would."
ViewTube Premium,Subscription Renewal,2, "Your ViewTube Premium is renewing!\nWho needs groceries when you can skip ads?\nYour feed knows you better than your family anyway."
PlaySphere Plus,Subscription Renewal,2, "Your PlaySphere Plus is renewing.\nCan't put a price on fun! (It keeps going up though)\nYour K/D ratio is great, your credit score... not so much."
Xblox Game Pass,Subscription Renewal,2, "Your Xblox Game Pass is renewing!\nBest deal in gaming! (We keep telling ourselves)\nYour gamerscore is higher than your savings balance."
Chatter Nitro,Subscription Renewal,2, "Your Chatter Nitro is renewing.\nInflation hits hard, custom emojis hit different!\nServer boosts forever, financial stability temporary."